NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
L_hirsutum	0.325466	0	1.05338e-11	0	7.1252e-10
L_seljukorum	0.325466	0	1.05338e-11	0	7.1252e-10
L_viscosum	0.579122	0	4.19276e-10	0	1.68082e-08
L_pubescens	0.929204	0	2.55087e-08	0	5.15393e-07
Re_indica	7.50558	0	0.0345136	0	0.0641742
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
L_corymbiferum	5.88976	0	0.0369431	8.64161e-33	7.21587e-05
L_gallicum	6.88976	0	0.0369431	8.64161e-33	7.21587e-05
L_strictum	5.88976	0	0.0369431	8.64161e-33	7.21587e-05
L_setaceum	5.88976	0	0.0369431	8.68498e-33	7.21489e-05
L_suffruticosum1	8.87319	0	0.0369431	1.68947e-24	1.00007
L_tenuifolium1	5.88976	0	0.0369431	1.68947e-24	7.21471e-05
L_album	7.83252	0	0.0824015	1.16195e-32	0.509559
L_mucronatum1	7.83252	0	0.0824015	1.16195e-32	0.509559
L_arboreum	7.83252	0	0.0824015	1.16114e-32	0.509559
L_elegans	7.83252	0	0.0824015	1.16114e-32	0.509559
L_campanulatum	7.83252	0	0.0824015	1.16114e-32	0.509559
L_capitatum	7.83252	0	0.0824015	1.16114e-32	0.509559
L_gyaricum	8.83252	0	0.0824015	1.16114e-32	0.509559
L_tauricum	7.83252	0	0.0824015	1.16114e-32	0.509559
L_flavum	7.83252	0	0.0824015	1.16114e-32	0.509559
L_nodiflorum	6.83748	0	0.0824062	1.16114e-32	0.508785
L_corymbulosum	5.88975	0	0.0369431	9.51366e-33	7.27019e-05
L_trigynum	6.88975	0	0.0369431	9.51366e-33	7.27019e-05
L_tenue1	6.88975	0	0.0369431	9.05388e-33	7.27019e-05
L_maritimum	6.88975	0	0.0369431	8.998e-33	7.27165e-05
L_catharticum	4.89048	0	0.0369431	8.44327e-33	1.91649e-05
C_selaginoides	2.89204	0	0.0372477	0.000344096	1.0002
L_littorale	2.89203	0	1.01988	0.000208135	1.98312
L_macraei	2.89203	0	1.037	0.000459008	2.00001
L_prostratum	2.89203	0	0.0373706	0.000466204	1.00032
L_oligophyllum	2.89203	0	0.0373698	0.000465386	1.00032
L_kingii	3.99566	0	0.476034	8.82144e-33	0.98235
L_rupestre	7.39112	0	0.467902	0.226715	1.22151
L_vernale	5.88649	0	0.467902	2.61803e-24	0.995218
L_striatum	5.89062	0	0.0369441	8.82144e-33	6.02703e-07
He_micranthum	2.89063	0	0.0369441	0.000198687	1.0002
S_digynum	2.89063	0	0.0369441	8.82144e-33	1.12323e-14
L_acuticarpum	5.85553	0	0.229677	8.82144e-33	0.990931
L_gracile	5.85553	0	0.229677	8.82144e-33	0.990931
L_heterostylum	5.85553	0	0.229677	8.82144e-33	0.990931
L_africanum	5.85553	0	0.229677	8.82144e-33	0.990931
L_comptonii	5.85558	0	0.229677	8.82144e-33	0.990974
Ra_linoides	5.89054	0	0.0369441	8.8192e-33	1.37901e-05
L_alpinum	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_punctatum1	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_perenne	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_lewisii	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_leonii	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_austr_mauritanicum	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_austriacum	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_pallescens	5.88828	0	0.0368581	1.87067e-33	0.00039032
L_pycnophyllum	5.88828	0	0.0368581	1.87067e-33	0.000390319
L_aroanium1	9.43774	0	0.0711004	0.0458793	0.906504
L_nervosum	6.72301	0	0.0711004	1.3715e-22	0.860143
L_bienne	6.12203	0	0.168683	4.15177e-24	0.959295
L_usitatissimum	6.12203	0	0.168683	4.15177e-24	0.959295
L_hologynum	6.19865	0	0.167962	0.0680238	1.70677
L_narbonense	5.83247	0	0.176162	3.15933e-33	0.84097
L_decumbens1	5.8895	0	0.0368574	1.22512e-32	0.000186048
L_grandiflorum	4.8895	0	0.0368574	1.22512e-32	0.000185973
L_stelleroides	5.8852	0	0.0368734	5.68409e-34	0.000903146
L_hirsutum	4.88973	0	0.0368899	5.548e-33	0.000148949
L_seljukorum	4.88973	0	0.0368899	5.548e-33	0.000148949
L_viscosum	4.88973	0	0.0368899	5.50641e-33	0.000148948
L_pubescens	4.88973	0	0.03689	5.44778e-33	0.000148814
Re_indica	7.50558	0	0.0345136	0	0.0641742
