#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.972633
L_gyaricum: 0.997521
N21: 0.873944
Re_indica: 1.4754
Total number of gain events: 6.77995
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N3: 0.560364
N12: 1.22264
L_nodiflorum: 1.00119
L_corymbulosum: 0.962067
L_catharticum: 1.0652
L_kingii: 1.98527
S_digynum: 2.88555
L_narbonense: 1.12941
L_grandiflorum: 0.835842
N58: 1.17235
Re_indica: 0.904831
Total number of loss events: 17.2556
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.9999
N28: 0.925273
L_littorale: 0.996385
L_macraei: 0.999997
L_rupestre: 0.972898
He_micranthum: 0.967093
L_aroanium1: 0.893147
Total number of duplication events: 8.69402
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00236934
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
L_suffruticosum1: 0.999951
N12: 0.823063
L_littorale: 1.00364
L_macraei: 1
L_kingii: 0.991306
L_vernale: 0.950057
N36: 0.946776
L_nervosum: 0.880396
N54: 0.587742
L_hologynum: 1.00022
Total number of transitions in base number: 9.81683
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N48	0.000235908	0.000238857	1.22056e-15	9.69005e-43	1.21516e-16
N49	0.000113584	0.000119923	3.31449e-15	7.95345e-43	1.43628e-17
N50	2.5501e-06	4.26517e-06	1.82289e-18	1.05743e-42	2.39035e-19
L_alpinum	4.44871e-07	1.15319e-06	0	0	8.67829e-21
L_punctatum1	4.44871e-07	1.15319e-06	0	0	8.67829e-21
L_perenne	0.000214828	0.000217252	7.79178e-17	0	2.04714e-19
L_lewisii	0.00168022	0.00168898	3.3192e-15	0	2.13501e-17
L_leonii	0.00350984	0.00352155	1.2111e-15	0	1.21242e-16
N51	0.00038045	0.000350484	7.05587e-16	5.47009e-40	8.51607e-15
L_austr_mauritanicum	0.00256037	0.00259474	5.68761e-14	0	2.27381e-16
L_austriacum	0.00256037	0.00259474	5.68761e-14	0	2.27381e-16
L_pallescens	0.00550265	0.00553438	5.08244e-13	0	1.61986e-12
L_pycnophyllum	0.00760123	0.00807766	1.08945e-09	0	4.51461e-10
N52	0.0722277	0.121806	0.102751	0.000327671	0.00360549
L_aroanium1	0.0455325	0.00235451	0.893147	9.53305e-06	0.000506806
L_nervosum	0.0216137	0.0957707	0.0132442	0	0.880396
N53	0.0302506	0.169467	3.34748e-06	6.74512e-12	6.32034e-06
N54	0.0158665	0.0744664	0.0455963	2.70501e-06	0.587742
N55	0.0572737	0.0910524	0.0755146	2.69084e-07	0.106296
N56	0.038708	0.117671	0.0265839	2.4447e-08	0.158223
L_bienne	2.35668e-05	0.000215103	3.65098e-08	0	2.23056e-05
L_usitatissimum	2.35668e-05	0.000215103	3.65098e-08	0	2.23056e-05
L_hologynum	0.0683404	0.093285	0.00286914	0	1.00022
L_narbonense	0.0402352	1.12941	0.153673	0	0.212965
N57	0.0582285	0.122811	7.19717e-06	1.00062e-23	2.86216e-07
L_decumbens1	0.199951	0.021639	2.95232e-06	0	5.82594e-07
L_grandiflorum	0.0141583	0.835842	3.21157e-06	0	1.3683e-08
L_stelleroides	0.326311	0.433345	0.000755149	0	9.87433e-06
N58	0.111113	1.17235	0.000116782	1.96929e-19	4.57694e-06
N59	0.00671387	0.0611955	2.36983e-05	8.69276e-29	5.05415e-08
N60	0.00392577	0.0150676	2.50753e-06	5.02352e-31	2.61217e-09
L_hirsutum	0.0103087	0.0145717	4.18814e-07	0	1.65944e-10
L_seljukorum	0.0103087	0.0145717	4.18814e-07	0	1.65944e-10
L_viscosum	0.0222656	0.0376704	2.89057e-06	0	1.90372e-08
L_pubescens	0.0483317	0.118246	3.31015e-05	0	2.78739e-07
Re_indica	1.4754	0.904831	0.0894028	0	0.0993458
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
L_corymbiferum	0.269645	0.945314	0.00210227	4.07597e-15	0.000268238
L_gallicum	1.25476	0.930434	0.00210227	4.07597e-15	0.000268238
L_strictum	0.282234	0.957904	0.00210227	4.07597e-15	0.000268238
L_setaceum	0.25367	0.929338	0.00210196	4.07597e-15	0.000268232
L_suffruticosum1	0.250552	0.926217	2.002	4.07719e-15	1.00022
L_tenuifolium1	0.250791	0.926459	0.00210196	4.07602e-15	0.000268233
L_album	0.290322	2.13178	0.175334	5.18742e-09	0.825471
L_mucronatum1	0.290322	2.13178	0.175334	5.18742e-09	0.825471
L_arboreum	0.287496	2.12895	0.175336	5.18742e-09	0.825469
L_elegans	0.287496	2.12895	0.175336	5.18742e-09	0.825469
L_campanulatum	0.287946	2.1294	0.175336	5.18742e-09	0.825469
L_capitatum	0.288705	2.13016	0.175336	5.18742e-09	0.825469
L_gyaricum	1.29295	2.13441	0.175336	5.18742e-09	0.825469
L_tauricum	0.296198	2.13765	0.175336	5.18742e-09	0.825469
L_flavum	0.288815	2.13027	0.175336	5.18742e-09	0.825469
L_nodiflorum	0.281564	3.11569	0.168115	5.18538e-09	0.832765
L_corymbulosum	1.21185	1.89662	0.0037055	1.70021e-13	0.000555829
L_trigynum	1.25018	0.934952	0.00370551	1.70021e-13	0.000555829
L_tenue1	1.22682	0.91159	0.00370547	1.70021e-13	0.000555864
L_maritimum	1.23247	0.917246	0.00370229	1.70021e-13	0.000559108
L_catharticum	0.241017	1.91668	0.00210164	4.07531e-15	0.000268102
C_selaginoides	0.232278	0.908044	1.00207	1.28754e-07	0.000301288
L_littorale	0.223628	0.899397	1.99659	0.00182308	1.00395
L_macraei	0.220613	0.896382	2.00206	1.27819e-07	1.0003
L_prostratum	0.22225	0.89802	1.00207	1.27839e-07	0.000301725
L_oligophyllum	0.222928	0.898698	1.00207	1.27837e-07	0.000301725
L_kingii	0.220034	2.89693	0.00448026	4.90322e-10	0.997411
L_rupestre	0.246233	0.917607	0.995135	2.39906e-05	0.00693462
L_vernale	0.263099	1.04205	0.0456132	4.8122e-06	0.956436
L_striatum	0.239569	0.915238	0.00210181	4.07744e-15	0.000268583
He_micranthum	0.277503	1.0222	0.969195	0.000182037	0.0335394
S_digynum	0.218504	3.86477	0.0021015	4.07551e-15	0.000268335
L_acuticarpum	0.240331	1.02137	0.0548781	4.35829e-10	0.947491
L_gracile	0.240331	1.02137	0.0548781	4.35829e-10	0.947491
L_heterostylum	0.242371	1.02341	0.0548781	4.35829e-10	0.947491
L_africanum	0.242957	1.024	0.0548782	4.35829e-10	0.94749
L_comptonii	0.244332	1.02539	0.0548883	4.35816e-10	0.947481
Ra_linoides	0.280844	0.956537	0.00210675	4.07531e-15	0.000268396
L_alpinum	0.241094	0.916463	0.00208461	2.97621e-12	0.000231304
L_punctatum1	0.241094	0.916463	0.00208461	2.97621e-12	0.000231304
L_perenne	0.241306	0.916675	0.00208461	2.97621e-12	0.000231304
